id,name,status,samples,accuracy,score,description,params,output_dir,accuracy_line
C1,clean_rounds1,merged,1145,55.33,633/1145,clean rerun of rounds=1 CoT,--rounds 1 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_clean_rounds1,全量准确率: 55.33% (633/1145)
NC1,no_cot_rounds1,merged,1145,59.24,678/1145,no-CoT with one round,--rounds 1,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_no_cot_rounds1,全量准确率: 59.24% (678/1145)
NC3,no_cot_rounds3,merged,1145,58.18,666/1145,no-CoT with three rounds,--rounds 3,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_no_cot_rounds3,全量准确率: 58.18% (666/1145)
NE1,no_cot_ensemble1,merged,1145,58.18,666/1145,no-CoT with one ensemble sample,--n_ensemble 1,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_no_cot_ensemble1,全量准确率: 58.18% (666/1145)
NE3,no_cot_ensemble3,merged,1145,57.36,656/1145,no-CoT with three ensemble samples,--n_ensemble 3,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_no_cot_ensemble3,全量准确率: 57.36% (656/1145)
CTX0,context_empty,merged,1145,55.90,640/1145,empty brief context,--context_mode empty --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_context_empty,全量准确率: 55.90% (640/1145)
CTXC,context_caption_only,merged,1145,55.17,631/1145,only original caption in brief context,--context_mode caption_only --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_context_caption_only,全量准确率: 55.17% (631/1145)
CTXO,context_objects_only,merged,1145,55.10,630/1145,only selected object names in brief context,--context_mode objects_only --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_context_objects_only,全量准确率: 55.10% (630/1145)
CTXN,context_no_round_state,running_or_partial,1042,,,no previous round/thought state in brief context,--context_mode no_round_state --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_context_no_round_state,
QG,qwen_caption_global,merged,1145,44.06,504/1145,Qwen global caption only,--use_qwen_blip2_caption --qwen_caption_mode global --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_qwen_caption_global,全量准确率: 44.06% (504/1145)
QL,qwen_caption_local,running_or_partial,620,,,Qwen local caption only,--use_qwen_blip2_caption --qwen_caption_mode local --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_qwen_caption_local,
QS,qwen_caption_short,running_or_partial,569,,,short Qwen global+local captions,--use_qwen_blip2_caption --qwen_caption_max_tokens 48 --qwen_caption_final_max_chars 220 --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_qwen_caption_short,
QNF,qwen_caption_no_final,merged,1145,52.66,602/1145,query Qwen captions but do not inject into final prompt,--use_qwen_blip2_caption --qwen_caption_no_final_context --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_qwen_caption_no_final,全量准确率: 52.66% (602/1145)
AS,answer_strict_final,running_or_partial,637,,,strict Final Answer/Answer extraction,--answer_extraction_strategy strict_final --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_answer_strict_final,
AL,answer_last_line,merged,1145,52.25,598/1145,last non-empty line extraction,--answer_extraction_strategy last_line --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_answer_last_line,全量准确率: 52.25% (598/1145)
AR,answer_raw,merged,1145,52.37,599/1145,raw CoT response for voting/eval,--answer_extraction_strategy raw --chain_of_thoughts,/data2/lizhengxue/WorkSpace/onion_output/aokvqa/qwen3-VL-4B_forward2_answer_raw,全量准确率: 52.37% (599/1145)
